Mês,Mês_Nome,Media_Horizontal_Wm2,Media_Inclinada_Wm2,Media_Horizontal_kWhm2dia,Media_Inclinada_kWhm2dia
1,Janeiro,254.92923931451614,273.8307570870343,6.118301743548387,6.571938170088824
2,Fevereiro,257.050343455648,217.61723147761882,6.169208242935552,5.222813555462852
3,Março,246.27858204547695,209.08746938542996,5.910685969091447,5.018099265250319
4,Abril,252.56970478483296,206.86195622814162,6.061672914835991,4.964686949475399
5,Maio,215.84853329903135,89.99018061288895,5.180364799176752,2.159764334709335
6,Junho,208.40875576388888,160.80683638591728,5.001810138333333,3.859364073262015
7,Julho,216.82772676971325,170.87037909804744,5.203865442473118,4.1008890983531385
8,Agosto,224.44889576612903,176.9783024566758,5.386773498387097,4.24747925896022
9,Setembro,262.98895217592593,219.09316445576238,6.311734852222222,5.2582359469382975
10,Outubro,280.9046962365592,276.26068929970086,6.7417127096774205,6.630256543192821
11,Novembro,266.8294012962963,218.83042652091498,6.403905631111111,5.251930236501959
12,Dezembro,248.19772908034537,211.30056940718697,5.956745497928289,5.071213665772488
